trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,shape_id,wheelchair_accessible,bikes_allowed,block_id,block_name
2434431,24049,34636,Loop,run 1,0,78310 169684,,,rt4-1,rt4-1
2497432,24049,34636,Loop,run 2,0,78311 169685,,,rt4-1,rt4-1
2503923,24049,34636,Loop,run 3,0,78311 169685,,,rt4-1,rt4-1
2503924,24049,34636,Loop,run 4,0,78311 169685,,,rt4-1,rt4-1
2503925,24049,34636,Loop,run 5,0,78311 169685,,,rt4-1,rt4-1
2503926,24049,34636,Loop,run 8,0,78311 169685,,,rt4-2,rt4-2
2503927,24049,34636,Loop,run 9,0,78311 169685,,,rt4-2,rt4-2
2503928,24049,34636,Loop,run 10,0,78311 169685,,,rt4-2,rt4-2
2503929,24049,34636,Loop,run 11,0,78311 169685,,,rt4-2,rt4-2
2503930,24049,34636,Loop,run 6,0,78312 169686,,,rt4-1,rt4-1
2503931,24049,34636,Loop,run 12,0,78312 169686,,,rt4-2,rt4-2
2503932,24049,34636,Loop,run 7,0,78313 169687,,,rt4-2,rt4-2
4947460,34390,34636,Newark Train Station,5:25am,0,114723 169688,,,,
4947462,34390,34636,Newark Train Station,6:25am,0,114724 169689,,,,
4947465,34390,34636,Newark Train Station,6:15pm,0,114724 169689,,,,
4947466,34390,34636,Newark Train Station,8:27pm,0,114724 169689,,,,
4947461,34390,34636,Perryville MARC,5:40am,1,114725 169690,,,,
4947463,34390,34636,Perryville MARC,7:10am,1,114725 169690,,,,
4947464,34390,34636,Perryville MARC,5:30pm,1,114725 169690,,,,
4947467,34390,34636,Perryville MARC,7:00pm,1,114725 169690,,,,
Glasgow_Connection_loop2_T01,24046,34638,Loop,run 1,0,77086 169693,,,1,1
2361374,24046,34638,Loop,run 2,0,77109 169694,,,1,1
2361457,24046,34636,Loop,run 3,0,77110 169695,,,,
2361458,24046,34636,Loop,run 4,0,77110 169695,,,,
2361459,24046,34636,Loop,run 5,0,77110 169695,,,,
2361460,24046,34636,Loop,run 6,0,77110 169695,,,,
2361461,24046,34636,Loop,run 7,0,77110 169695,,,,
2361462,24046,34636,Loop,run 8,0,77110 169695,,,,
2361463,24046,34636,Loop,run 9,0,77110 169695,1,,,
2361536,24046,34636,Loop,run 10,0,77112 169697,,,,
2361537,24046,34638,Loop,run 11,0,77113 169698,,,1,1
4947468,34390,34636,Cecil College,8:10am,0," 169699",,,,
7058473,24047,34636,,530AM,0,Route2,1,,,
7058474,24047,34636,,724PM,0,Route2PM,1,,,
7058475,24047,34636,,904PM,0,R2PMLate,1,,,
